iter	Passed	Remaining
0	282	282445
1	284	141868
2	285	94819
3	286	71274
4	287	57173
5	291	48249
6	292	41532
7	293	36431
8	294	32474
9	295	29303
10	296	26701
11	297	24529
12	298	22688
13	299	21112
14	300	19744
15	308	18955
16	309	17891
17	314	17139
18	315	16271
19	316	15488
20	319	14906
21	321	14297
22	322	13711
23	323	13168
24	324	12664
25	325	12204
26	326	11772
27	327	11369
28	328	10994
29	329	10645
30	330	10325
31	331	10032
32	334	9797
33	335	9528
34	336	9272
35	337	9031
36	338	8801
37	339	8584
38	339	8377
39	344	8256
40	345	8084
41	346	7907
42	347	7736
43	348	7573
44	349	7421
45	350	7272
46	351	7128
47	352	6990
48	353	6858
49	361	6861
50	363	6760
51	367	6690
52	377	6753
53	380	6659
54	381	6562
55	383	6459
56	391	6474
57	393	6386
58	394	6288
59	395	6192
60	396	6100
61	397	6010
62	398	5922
63	399	5836
64	402	5789
65	404	5721
66	405	5643
67	405	5561
68	406	5487
69	407	5415
70	408	5345
71	409	5278
72	410	5212
73	411	5147
74	412	5086
75	420	5111
76	422	5062
77	423	5002
78	424	4946
79	425	4889
80	426	4834
81	426	4780
82	427	4727
83	431	4707
84	432	4659
85	434	4615
86	434	4564
87	435	4517
88	436	4472
89	437	4428
90	439	4386
91	440	4344
92	441	4301
93	441	4260
94	442	4219
95	452	4265
96	454	4228
97	455	4192
98	456	4156
99	458	4123
100	462	4120
101	463	4084
102	465	4054
103	466	4022
104	468	3990
105	469	3958
106	471	3933
107	472	3906
108	480	3930
109	482	3900
110	483	3871
111	484	3841
112	485	3813
113	487	3785
114	488	3756
115	491	3744
116	493	3725
117	495	3701
118	496	3673
119	497	3648
120	498	3623
121	499	3597
122	500	3568
123	501	3544
124	502	3520
125	510	3537
126	511	3514
127	512	3488
128	513	3465
129	514	3443
130	515	3422
131	517	3399
132	518	3378
133	520	3362
134	522	3346
135	523	3326
136	524	3306
137	525	3284
138	527	3264
139	528	3244
140	529	3226
141	530	3206
142	531	3187
143	538	3201
144	541	3193
145	543	3176
146	544	3161
147	546	3143
148	547	3127
149	550	3119
150	552	3108
151	554	3095
152	556	3080
153	558	3068
154	560	3054
155	562	3041
156	570	3061
157	572	3048
158	573	3035
159	575	3023
160	577	3011
161	580	3003
162	582	2993
163	605	3088
164	607	3074
165	609	3062
166	614	3063
167	616	3054
168	618	3040
169	620	3027
170	621	3013
171	623	3001
172	636	3041
173	638	3028
174	641	3022
175	645	3023
176	647	3011
177	649	2997
178	650	2985
179	654	2979
180	655	2964
181	662	2975
182	663	2962
183	665	2949
184	666	2935
185	668	2924
186	670	2915
187	677	2926
188	681	2922
189	683	2913
190	684	2900
191	686	2887
192	699	2925
193	701	2916
194	707	2919
195	709	2909
196	711	2902
197	713	2888
198	714	2874
199	715	2861
200	716	2848
201	717	2834
202	719	2826
203	721	2815
204	723	2804
205	724	2791
206	725	2778
207	726	2764
208	727	2752
209	732	2756
210	735	2749
211	757	2815
212	759	2806
213	761	2796
214	762	2784
215	763	2772
216	765	2760
217	766	2748
218	767	2736
219	768	2724
220	769	2712
221	770	2701
222	777	2708
223	779	2700
224	780	2688
225	781	2676
226	782	2664
227	783	2652
228	784	2640
229	785	2628
230	786	2616
231	786	2605
232	788	2597
233	790	2587
234	791	2576
235	792	2565
236	793	2553
237	794	2542
238	795	2531
239	796	2520
240	797	2510
241	798	2501
242	800	2492
243	801	2483
244	806	2485
245	807	2476
246	809	2468
247	810	2458
248	811	2447
249	812	2437
250	813	2427
251	814	2417
252	815	2409
253	817	2400
254	818	2390
255	819	2381
256	820	2371
257	821	2361
258	822	2353
259	823	2344
260	824	2334
261	825	2325
262	826	2315
263	827	2306
264	828	2297
265	834	2303
266	835	2294
267	836	2285
268	837	2276
269	838	2267
270	839	2257
271	840	2249
272	841	2240
273	842	2231
274	843	2222
275	844	2215
276	846	2208
277	847	2200
278	848	2193
279	849	2185
280	850	2176
281	851	2168
282	852	2159
283	853	2151
284	854	2143
285	855	2134
286	856	2126
287	857	2118
288	858	2111
289	862	2111
290	863	2104
291	865	2097
292	866	2090
293	867	2082
294	868	2074
295	869	2067
296	870	2059
297	870	2051
298	872	2045
299	873	2039
300	875	2032
301	876	2025
302	877	2017
303	878	2010
304	879	2003
305	879	1995
306	880	1988
307	881	1981
308	882	1974
309	883	1967
310	884	1959
311	885	1952
312	891	1957
313	892	1950
314	893	1943
315	894	1936
316	895	1929
317	896	1922
318	897	1915
319	898	1908
320	899	1901
321	900	1895
322	902	1891
323	904	1886
324	905	1881
325	907	1875
326	908	1869
327	909	1863
328	910	1857
329	912	1851
330	913	1845
331	914	1839
332	920	1844
333	921	1838
334	923	1832
335	924	1826
336	925	1821
337	927	1815
338	928	1809
339	929	1804
340	931	1799
341	933	1795
342	934	1789
343	935	1784
344	936	1778
345	938	1773
346	939	1767
347	940	1762
348	941	1756
349	942	1751
350	944	1745
351	949	1747
352	954	1749
353	955	1743
354	956	1738
355	958	1733
356	959	1727
357	960	1722
358	962	1719
359	964	1714
360	965	1709
361	966	1703
362	968	1698
363	969	1693
364	970	1688
365	971	1683
366	973	1678
367	974	1673
368	980	1677
369	982	1672
370	983	1667
371	984	1662
372	985	1657
373	987	1652
374	988	1647
375	989	1642
376	991	1638
377	993	1634
378	994	1629
379	995	1624
380	996	1619
381	997	1614
382	999	1609
383	1000	1605
384	1001	1600
385	1003	1595
386	1008	1597
387	1011	1594
388	1012	1590
389	1014	1586
390	1015	1582
391	1017	1578
392	1018	1573
393	1021	1570
394	1023	1567
395	1025	1563
396	1026	1559
397	1028	1554
398	1029	1551
399	1031	1547
400	1033	1543
401	1040	1547
402	1041	1542
403	1043	1539
404	1044	1535
405	1046	1530
406	1047	1526
407	1048	1521
408	1051	1518
409	1052	1514
410	1053	1510
411	1055	1506
412	1056	1501
413	1057	1497
414	1059	1493
415	1060	1489
416	1062	1484
417	1063	1480
418	1070	1483
419	1071	1479
420	1072	1475
421	1073	1470
422	1074	1466
423	1076	1461
424	1077	1457
425	1078	1453
426	1080	1449
427	1082	1446
428	1083	1441
429	1084	1437
430	1085	1433
431	1087	1429
432	1088	1425
433	1089	1420
434	1090	1416
435	1091	1412
436	1092	1407
437	1101	1412
438	1103	1409
439	1113	1416
440	1117	1417
441	1121	1416
442	1128	1419
443	1130	1416
444	1132	1412
445	1133	1408
446	1134	1404
447	1136	1399
448	1137	1395
449	1138	1391
450	1139	1387
451	1142	1384
452	1143	1380
453	1144	1376
454	1145	1372
455	1146	1367
456	1147	1363
457	1148	1358
458	1149	1354
459	1150	1350
460	1151	1345
461	1152	1341
462	1153	1337
463	1158	1338
464	1160	1335
465	1161	1330
466	1162	1326
467	1163	1322
468	1164	1318
469	1165	1313
470	1165	1309
471	1166	1305
472	1168	1301
473	1169	1297
474	1171	1294
475	1172	1290
476	1173	1286
477	1174	1282
478	1175	1278
479	1176	1274
