iter	Passed	Remaining
0	233	232976
1	238	118818
2	242	80556
3	259	64683
4	266	53022
5	267	44351
6	268	38146
7	270	33559
8	273	30088
9	274	27192
10	275	24788
11	276	22782
12	290	22036
13	291	20514
14	292	19189
15	296	18257
16	298	17237
17	299	16335
18	301	15544
19	302	14840
20	303	14167
21	304	13554
22	305	12994
23	306	12476
24	307	11999
25	315	11836
26	317	11431
27	318	11057
28	319	10697
29	320	10360
30	321	10051
31	322	9760
32	323	9483
33	328	9326
34	329	9085
35	331	8872
36	332	8657
37	333	8455
38	335	8255
39	336	8066
40	337	7883
41	349	7981
42	351	7824
43	352	7663
44	353	7510
45	355	7362
46	359	7298
47	361	7164
48	362	7040
49	364	6918
50	365	6796
51	366	6676
52	367	6564
53	368	6452
54	369	6344
55	370	6240
56	372	6164
57	373	6074
58	375	5984
59	376	5894
60	377	5808
61	378	5725
62	379	5644
63	383	5615
64	385	5540
65	386	5469
66	389	5427
67	390	5357
68	391	5287
69	392	5219
70	393	5152
71	394	5087
72	401	5092
73	403	5051
74	405	5004
75	406	4945
76	407	4887
77	408	4832
78	409	4777
79	410	4722
80	415	4710
81	416	4661
82	417	4612
83	419	4572
84	420	4526
85	421	4480
86	422	4435
87	423	4391
88	425	4350
89	431	4364
90	433	4329
91	435	4295
92	436	4256
93	437	4219
94	438	4182
95	440	4146
96	445	4146
97	446	4112
98	448	4082
99	450	4052
100	451	4022
101	453	3994
102	454	3962
103	462	3981
104	464	3955
105	465	3927
106	466	3897
107	468	3867
108	469	3839
109	474	3839
110	476	3817
111	480	3806
112	481	3783
113	483	3757
114	484	3730
115	485	3703
116	487	3679
117	489	3655
118	490	3630
119	492	3608
120	493	3584
121	494	3558
122	496	3536
123	498	3520
124	500	3503
125	502	3482
126	503	3458
127	504	3436
128	505	3415
129	514	3441
130	515	3422
131	517	3401
132	518	3380
133	519	3359
134	521	3339
135	526	3343
136	527	3324
137	530	3311
138	531	3295
139	533	3276
140	534	3257
141	535	3236
142	544	3261
143	546	3246
144	547	3229
145	548	3210
146	550	3193
147	552	3178
148	557	3181
149	558	3166
150	560	3154
151	563	3141
152	564	3124
153	565	3108
154	567	3091
155	575	3113
156	577	3098
157	578	3081
158	579	3063
159	580	3045
160	580	3027
161	581	3010
162	582	2992
163	587	2994
164	588	2978
165	589	2963
166	591	2949
167	592	2936
168	594	2921
169	595	2905
170	596	2890
171	597	2874
172	598	2860
173	600	2851
174	602	2839
175	603	2825
176	604	2810
177	605	2795
178	606	2781
179	607	2766
180	608	2753
181	613	2756
182	614	2743
183	615	2730
184	616	2717
185	618	2705
186	619	2692
187	621	2683
188	622	2671
189	632	2695
190	637	2700
191	639	2690
192	647	2708
193	649	2697
194	650	2684
195	651	2671
196	652	2658
197	653	2645
198	654	2633
199	655	2620
200	663	2637
201	664	2625
202	665	2612
203	666	2600
204	667	2588
205	668	2576
206	669	2565
207	670	2553
208	673	2550
209	675	2541
210	676	2530
211	677	2519
212	678	2508
213	679	2496
214	680	2485
215	681	2474
216	682	2463
217	683	2451
218	684	2440
219	685	2430
220	693	2443
221	694	2432
222	695	2421
223	696	2411
224	697	2400
225	697	2390
226	698	2379
227	699	2369
228	700	2358
229	701	2348
230	706	2352
231	708	2345
232	709	2336
233	711	2328
234	712	2319
235	713	2309
236	714	2300
237	715	2290
238	716	2280
239	723	2290
240	724	2281
241	725	2272
242	726	2262
243	727	2252
244	728	2243
245	728	2234
246	729	2225
247	730	2215
248	731	2207
249	735	2206
250	737	2199
251	738	2191
252	739	2183
253	740	2174
254	741	2166
255	742	2157
256	743	2148
257	744	2140
258	745	2131
259	745	2123
260	752	2130
261	754	2124
262	755	2116
263	756	2108
264	757	2099
265	757	2091
266	758	2083
267	760	2076
268	761	2069
269	765	2068
270	766	2062
271	767	2055
272	768	2047
273	769	2039
274	770	2031
275	771	2024
276	772	2016
277	773	2009
278	774	2002
279	775	1994
280	776	1987
281	784	1996
282	785	1988
283	785	1981
284	786	1974
285	787	1966
286	789	1960
287	790	1954
288	791	1947
289	792	1940
290	796	1940
291	797	1933
292	798	1927
293	800	1921
294	801	1914
295	802	1908
296	803	1902
297	805	1897
298	807	1892
299	815	1903
300	817	1898
301	818	1892
302	820	1886
303	821	1880
304	822	1874
305	826	1875
306	828	1870
307	830	1865
308	832	1861
309	834	1856
310	835	1850
311	836	1844
312	837	1838
313	846	1848
314	847	1842
315	848	1837
316	849	1831
317	851	1826
318	852	1820
319	856	1819
320	858	1815
321	860	1811
322	861	1805
323	862	1800
324	864	1794
325	865	1789
326	866	1784
327	868	1778
328	876	1788
329	878	1782
330	879	1777
331	880	1771
332	881	1766
333	883	1761
334	884	1755
335	888	1756
336	890	1751
337	891	1746
338	893	1741
339	894	1736
340	895	1730
341	897	1725
342	898	1720
343	907	1730
344	909	1726
345	910	1720
346	911	1715
347	913	1710
348	914	1705
349	918	1705
350	920	1701
351	921	1696
352	922	1691
353	925	1688
354	927	1684
355	929	1680
356	935	1684
357	936	1680
358	938	1675
359	939	1670
360	940	1665
361	942	1661
362	944	1656
363	945	1651
364	947	1648
365	949	1644
366	950	1639
367	952	1635
368	953	1630
369	954	1624
370	955	1619
371	956	1614
372	957	1609
373	959	1605
374	960	1600
375	961	1595
376	962	1589
377	963	1584
378	964	1579
379	965	1574
380	966	1569
381	966	1564
382	970	1563
383	971	1559
384	973	1554
385	974	1549
386	975	1544
387	976	1539
388	977	1534
389	978	1529
390	979	1525
391	980	1520
392	981	1515
393	987	1518
394	988	1514
395	989	1509
396	990	1504
397	991	1500
398	993	1495
399	994	1491
400	995	1486
401	996	1481
402	997	1477
403	1002	1478
404	1003	1474
405	1004	1470
406	1006	1466
407	1007	1461
408	1008	1457
409	1010	1453
410	1011	1449
411	1012	1444
412	1020	1451
413	1022	1447
414	1024	1443
415	1025	1439
416	1027	1436
417	1031	1436
418	1034	1434
419	1035	1430
420	1037	1426
421	1038	1422
422	1039	1418
423	1040	1414
424	1041	1409
425	1042	1405
426	1054	1414
427	1062	1420
428	1065	1417
429	1066	1413
430	1068	1410
431	1069	1406
432	1071	1402
433	1072	1399
434	1073	1394
435	1074	1390
436	1083	1395
437	1084	1391
438	1086	1388
439	1087	1384
440	1088	1379
441	1089	1375
442	1090	1371
443	1094	1370
444	1096	1367
445	1098	1364
446	1099	1360
447	1100	1356
448	1101	1351
449	1102	1347
450	1103	1343
451	1104	1339
452	1111	1342
453	1114	1340
454	1116	1336
455	1117	1332
456	1118	1328
457	1119	1324
458	1120	1320
459	1121	1316
460	1125	1315
461	1126	1312
462	1128	1309
463	1130	1305
464	1131	1301
465	1132	1297
466	1133	1294
467	1134	1289
468	1135	1285
469	1143	1289
470	1144	1285
471	1146	1282
472	1147	1278
473	1148	1275
474	1149	1270
475	1151	1267
476	1154	1266
477	1158	1264
478	1159	1261
479	1161	1257
480	1162	1254
481	1163	1250
482	1164	1246
483	1165	1242
484	1166	1239
485	1175	1243
486	1176	1239
487	1177	1235
488	1178	1231
489	1179	1228
490	1181	1224
491	1182	1220
492	1186	1220
493	1191	1220
494	1193	1217
495	1194	1214
496	1196	1210
497	1197	1207
498	1212	1217
499	1214	1214
500	1221	1216
501	1223	1213
502	1225	1210
503	1226	1207
504	1228	1203
505	1230	1200
506	1239	1205
507	1241	1202
508	1243	1199
509	1244	1195
510	1245	1192
511	1253	1194
512	1254	1191
513	1256	1187
514	1258	1184
515	1259	1181
516	1260	1177
517	1271	1182
518	1272	1179
519	1274	1176
520	1275	1172
521	1277	1169
522	1282	1169
523	1284	1166
524	1286	1163
525	1288	1160
526	1289	1157
527	1290	1153
528	1291	1150
529	1302	1154
530	1303	1151
531	1305	1148
532	1307	1145
533	1308	1141
534	1314	1142
535	1316	1139
536	1318	1136
537	1319	1133
538	1320	1129
539	1321	1126
540	1324	1123
541	1327	1121
542	1329	1118
543	1330	1115
544	1332	1112
545	1333	1108
546	1338	1108
547	1339	1104
548	1340	1101
549	1342	1098
550	1343	1094
551	1347	1094
552	1356	1096
553	1358	1093
554	1359	1090
555	1360	1086
556	1361	1082
557	1362	1079
558	1363	1075
559	1368	1075
560	1370	1072
561	1372	1069
562	1374	1067
563	1376	1063
564	1377	1060
565	1378	1056
566	1379	1053
567	1380	1049
568	1381	1046
569	1382	1043
570	1384	1039
571	1385	1036
572	1387	1033
573	1388	1030
574	1388	1026
575	1392	1025
576	1395	1023
577	1396	1019
578	1397	1016
579	1398	1013
580	1399	1009
581	1400	1006
582	1401	1002
583	1403	999
584	1404	996
585	1414	999
586	1419	998
587	1420	995
588	1423	993
589	1427	991
590	1428	988
591	1429	985
592	1430	981
593	1431	978
594	1432	975
595	1434	972
596	1436	969
597	1438	967
598	1439	963
599	1440	960
600	1441	957
601	1442	953
602	1443	950
603	1448	949
604	1449	946
605	1450	943
606	1451	940
607	1453	936
608	1454	933
609	1454	930
610	1455	926
611	1456	923
612	1457	920
613	1466	921
614	1467	918
615	1468	915
616	1469	912
617	1470	908
618	1471	905
619	1472	902
620	1473	899
621	1476	897
622	1478	894
623	1480	891
624	1481	888
625	1482	885
626	1483	882
627	1484	879
628	1485	876
629	1486	872
630	1487	869
631	1488	866
632	1496	867
633	1498	864
634	1499	861
635	1500	858
636	1501	855
637	1502	852
638	1503	849
639	1504	846
640	1508	844
641	1510	842
642	1511	839
643	1513	836
644	1514	833
645	1515	830
646	1516	827
647	1517	824
648	1525	825
649	1526	822
650	1528	819
651	1529	816
652	1531	813
653	1532	810
654	1533	807
655	1537	806
656	1540	803
657	1541	801
658	1543	798
659	1544	795
660	1545	792
661	1546	789
662	1547	786
663	1555	787
664	1556	784
665	1557	781
666	1558	778
667	1559	775
668	1561	772
669	1562	769
670	1563	766
671	1567	764
672	1568	762
673	1570	759
674	1579	760
675	1581	757
676	1582	755
677	1584	752
678	1585	749
679	1586	746
680	1592	745
681	1594	743
682	1595	740
683	1596	737
684	1597	734
685	1598	731
686	1599	728
687	1601	726
688	1602	723
689	1603	720
690	1605	717
691	1606	715
692	1608	712
693	1610	710
694	1615	709
695	1620	707
696	1622	705
697	1632	706
698	1636	704
699	1638	702
700	1641	699
701	1648	699
702	1649	697
703	1651	694
704	1653	692
705	1655	689
706	1656	686
707	1668	688
708	1670	685
709	1672	683
710	1679	682
711	1682	680
712	1684	678
713	1686	675
714	1688	672
715	1698	673
716	1701	671
717	1703	668
718	1704	666
719	1711	665
720	1713	663
721	1715	660
722	1716	657
723	1718	655
724	1728	655
725	1733	654
726	1734	651
727	1741	650
728	1745	648
729	1747	646
730	1751	644
731	1763	645
732	1766	643
733	1776	643
734	1778	641
735	1780	638
736	1781	635
737	1783	633
738	1794	633
739	1795	630
740	1797	628
741	1798	625
742	1807	625
743	1811	623
744	1813	620
745	1814	617
746	1828	619
747	1829	616
748	1831	613
749	1840	613
750	1842	610
751	1844	608
752	1845	605
753	1847	602
754	1857	602
755	1859	600
756	1861	597
757	1869	596
758	1870	594
759	1873	591
760	1876	589
761	1889	590
762	1891	587
763	1893	584
764	1901	584
765	1905	582
766	1907	579
767	1909	576
768	1926	578
769	1935	578
770	1938	575
771	1940	572
772	1942	570
773	1955	570
774	1957	568
775	1958	565
776	1966	564
777	1969	561
778	1971	559
779	1972	556
780	1974	553
781	1987	554
782	1988	551
783	1991	548
784	1999	547
785	2002	545
786	2006	543
787	2019	543
788	2023	541
789	2032	540
790	2034	537
791	2037	535
792	2104	549
793	2106	546
794	2115	545
795	2117	542
796	2119	539
797	2121	536
798	2126	534
799	2128	532
800	2130	529
801	2132	526
802	2135	523
803	2138	521
804	2151	521
805	2152	518
806	2154	515
807	2202	523
808	2209	521
809	2212	519
810	2214	516
811	2215	513
812	2217	510
813	2219	507
814	2223	504
815	2226	502
816	2227	499
817	2230	496
818	2232	493
819	2233	490
820	2239	488
821	2241	485
822	2242	482
823	2244	479
824	2272	482
825	2274	479
826	2276	476
827	2279	473
828	2280	470
829	2281	467
830	2288	465
831	2293	463
832	2295	460
833	2297	457
834	2317	458
835	2320	455
836	2323	452
837	2325	449
838	2327	446
839	2329	443
840	2331	440
841	2334	438
842	2345	436
843	2347	433
844	2349	431
845	2354	428
846	2356	425
847	2360	423
848	2363	420
849	2365	417
850	2378	416
851	2380	413
852	2384	410
853	2388	408
854	2390	405
855	2392	402
856	2394	399
857	2396	396
858	2405	394
859	2407	391
860	2410	389
861	2413	386
862	2421	384
863	2424	381
864	2426	378
865	2428	375
866	2429	372
867	2442	371
868	2444	368
869	2445	365
870	2448	362
871	2450	359
872	2452	356
873	2453	353
874	2463	351
875	2465	349
876	2467	346
877	2469	343
878	2478	341
879	2480	338
880	2482	335
881	2483	332
882	2496	330
883	2498	327
884	2510	326
885	2513	323
886	2515	320
887	2517	317
888	2529	315
889	2530	312
890	2532	309
891	2533	306
892	2540	304
893	2542	301
894	2543	298
895	2545	295
896	2548	292
897	2559	290
898	2562	287
899	2563	284
900	2564	281
901	2567	278
902	2570	276
903	2571	273
904	2585	271
905	2586	268
906	2588	265
907	2621	265
908	2635	263
909	2647	261
910	2651	259
911	2653	256
912	2661	253
913	2664	250
914	2667	247
915	2669	244
916	2682	242
917	2685	239
918	2694	237
919	2698	234
920	2713	232
921	2715	229
922	2727	227
923	2730	224
924	2732	221
925	2746	219
926	2748	216
927	2757	213
928	2760	210
929	2764	208
930	2765	204
931	2778	202
932	2780	199
933	2781	196
934	2788	193
935	2793	191
936	2794	187
937	2796	184
938	2797	181
939	2806	179
940	2808	176
941	2810	173
942	2811	169
943	2813	166
944	2818	164
945	2820	160
946	2823	158
947	2825	154
948	2826	151
949	2828	148
950	2836	146
951	2838	143
952	2840	140
953	2842	137
954	2844	134
955	2851	131
956	2854	128
957	2856	125
958	2858	122
959	2861	119
960	2881	116
961	2884	113
962	2891	111
963	2895	108
964	2897	105
965	2904	102
966	2906	99
967	2908	96
968	2910	93
969	2913	90
970	2922	87
